id,vendor_id,lat,lng,name,route,create_batch_id,created_at,created_by,update_batch_id,updated_at,updated_by
camea-BC_AT-STLA,BC_AT-STLA,50.0793736,14.3785794,Atletická,A140,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_BS-BMZL,BC_BS-BMZL,50.0420991,14.407247,Barrandovský most,A 12,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_CB-CHTU,BC_CB-CHTU,50.031113,14.492876,Chodov,A 22,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_CL-PVLI,BC_CL-PVLI,50.1135103,14.4581003,U Českých loděnic,A2,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_CT-OTPB,BC_CT-OTPB,50.087262,14.425974,Celetná,A 1,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_DE-EVSA,BC_DE-EVSA,50.093562,14.320898,Divoká Šárka,A 33,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_KO-LEPR,BC_KO-LEPR,50.1269227,14.507327,Letňany,A 27,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_KO-VYHO,BC_KO-VYHO,50.109662,14.494891,Kolčavka,A 26,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_KR-RAZB,BC_KR-RAZB,49.9803678,14.3634271,Radotín,A 11,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_MB-PRVI,BC_MB-PRVI,50.1256708,14.5346419,Mladoboleslavská,A267,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_NM-CEKV,BC_NM-CEKV,50.0682472,14.430294,Nuselský most,A 41,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_NS-PAVL,BC_NS-PAVL,50.0928879,14.371382,Střešovice,A 165X,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_PM-MHJA,BC_PM-MHJA,50.098333,14.407471,Pelléova,A 160,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_PN-VYBR,BC_PN-VYBR,50.062168593505,14.417523890734,Podolské nábřeží - stezka,A 2,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_PN-VYBR2,BC_PN-VYBR2,50.061932,14.418152,Podolské nábřeží - vozovka,A 2,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_PP-ROJP,BC_PP-ROJP,50.1174747,14.391871,Podbabská,A 1,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_PT-ZOVO,BC_PT-ZOVO,50.1145896,14.4136674,Povltavská,A 2,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_RN-JK,BC_RN-JK,50.094067,14.437973,Rohanské nábřeží,A 2,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_TL-TRHO,BC_TL-TRHO,50.111242315108,14.417871236801,Císařský ostrov,A 310,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_VF-ARUE,BC_VF-ARUE,50.10495,14.502937,Stezka okolo Rokytky,A 26,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_VK-HRUP,BC_VK-HRUP,50.086846,14.44444,Drážní stezka - Vítkov,A 25,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_VK-MOKO,BC_VK-MOKO,50.003431,14.402936,Modřany,A 2,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_VR-ST,BC_VR-ST,50.066464,14.444736,Vršovická,A 23,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_DS-KJVL,BC_DS-KJVL,50.0973149,14.432982,Dukelských hrdinů,A 310,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_DU-KRST,BC_DU-KRST,50.059714879868,14.594435691833,Dubeč,A 24,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_EU-KTOT,BC_EU-KTOT,50.106999,14.470749,Elsnicovo náměstí x U Českých loděnic,A 2,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_HY-WINP,BC_HY-WINP,50.0872642,14.4344272,Hybernská,A25,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_HZ-CE,BC_HZ-CE,50.040233,14.403657,Hlubočepská,A 12,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_JG-PNPC,BC_JG-PNPC,50.046196,14.417109,Jeremenkova,A 221,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_KA-KMML,BC_KA-KMML,50.08312,14.4077472,Kampa,A1,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_KJ-HRHO,BC_KJ-HRHO,50.096722485653,14.433524608612,Nábřeží Kapitána Jaroše,A 1,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_VS-CE,BC_VS-CE,50.0704264,14.3857008,Košíře,A 14,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_ZA-KLBO,BC_ZA-KLBO,50.143132,14.39908,V Zámcích,A2,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_SH-SEKU,BC_SH-SEKU,50.0118531,14.5008735,Šeberov,A 21,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_SN-NDKM,BC_SN-NDKM,50.0842178,14.4133714,Smetanovo nábřeží,A2,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_ST-RABA,BC_ST-RABA,49.995005244109,14.398425221443,Lahovičky (Strakonická),A 1,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_SU-KRKA,BC_SU-KRKA,50.034619532046,14.443668723106,Krč (Sulická),A 22,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
camea-BC_SU-VS,BC_SU-VS,50.118771,14.382879,V Šáreckém údolí,A 17,,2020-02-14 15:20:01.302000+00:00,,,2022-03-28 15:50:00.492000+00:00,
ecoCounter-100047647,100047647,50.0594968656384,14.4191921874641,Praha - Podolí,,,2020-02-14 15:00:00.367000+00:00,,,2022-03-28 15:45:03.650000+00:00,
camea-BC_AL-STPL,BC_AL-STPL,50.0718897,14.3986383,Anděl (Plzeňská),A14,,2020-02-14 15:20:01.301000+00:00,,,2022-03-28 15:50:00.492000+00:00,
