Symbol,Security,GICS Sector,hq,included,Founded
IP,International Paper,Materials,"Memphis, Tennessee",04.03.1957,1898
IPG,The Interpublic Group of Companies,Communication Services,"New York City, New York",01.10.1992,1961 (1930)
IFF,International Flavors & Fragrances,Materials,"New York City, New York",31.03.1976,1958 (1889)
INTU,Intuit,Information Technology,"Mountain View, California",05.12.2000,1983
ISRG,Intuitive Surgical,Health Care,"Sunnyvale, California",02.06.2008,1995
IVZ,Invesco,Financials,"Atlanta, Georgia",21.08.2008,1935
INVH,Invitation Homes,Real Estate,"Dallas, Texas",19.09.2022,2012
IQV,IQVIA,Health Care,"Durham, North Carolina",29.08.2017,1982
IRM,Iron Mountain,Real Estate,"Boston, Massachusetts",06.01.2009,1951
JBHT,J.B. Hunt,Industrials,"Lowell, Arkansas",01.07.2015,1961
JKHY,Jack Henry & Associates,Information Technology,"Monett, Missouri",13.11.2018,1976
J,Jacobs Solutions,Industrials,"Dallas, Texas",26.10.2007,1947
JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey",30.06.1973,1886
JCI,Johnson Controls,Industrials,"Cork, Ireland",27.08.2010,1885
JPM,JPMorgan Chase,Financials,"New York City, New York",30.06.1975,2000 (1799 / 1871)
JNPR,Juniper Networks,Information Technology,"Sunnyvale, California",02.06.2006,1996
K,Kellogg's,Consumer Staples,"Battle Creek, Michigan",11.09.1989,1906
KDP,Keurig Dr Pepper,Consumer Staples,"Burlington, Massachusetts",21.06.2022,1981
KEY,KeyCorp,Financials,"Cleveland, Ohio",01.03.1994,1825
KEYS,Keysight,Information Technology,"Santa Rosa, California",06.11.2018,2014 (1939)
KMB,Kimberly-Clark,Consumer Staples,"Irving, Texas",04.03.1957,1872
KIM,Kimco Realty,Real Estate,"New Hyde Park, New York",04.04.2006,1958
KMI,Kinder Morgan,Energy,"Houston, Texas",25.05.2012,1997
KLAC,KLA Corporation,Information Technology,"Milpitas, California",,1975/1977 (1997)
KHC,Kraft Heinz,Consumer Staples,"Chicago, Illinois; Pittsburgh, Pennsylvania",06.07.2015,2015 (1869)
KR,Kroger,Consumer Staples,"Cincinnati, Ohio",04.03.1957,1883
LHX,L3Harris,Industrials,"Melbourne, Florida",22.09.2008,2019 (1895)
LH,LabCorp,Health Care,"Burlington, North Carolina",01.11.2004,1978
LRCX,Lam Research,Information Technology,"Fremont, California",29.06.2012,1980
LW,Lamb Weston,Consumer Staples,"Eagle, Idaho",03.12.2018,2016 (1950)
LVS,Las Vegas Sands,Consumer Discretionary,"Las Vegas, Nevada",03.10.2019,1988
LDOS,Leidos,Industrials,"Reston, Virginia",09.08.2019,1969
LEN,Lennar,Consumer Discretionary,"Miami, Florida",04.10.2005,1954
LNC,Lincoln Financial,Financials,"Radnor, Pennsylvania",30.06.1976,1905
LIN,Linde plc,Materials,"Guildford, United Kingdom",01.07.1992,1879
LYV,Live Nation Entertainment,Communication Services,"Beverly Hills, California",23.12.2019,2010
LKQ,LKQ Corporation,Consumer Discretionary,"Chicago, Illinois",23.05.2016,1998
LMT,Lockheed Martin,Industrials,"Bethesda, Maryland",31.07.1984,1995
L,Loews Corporation,Financials,"New York City, New York",,1959
LOW,Lowe's,Consumer Discretionary,"Mooresville, North Carolina",29.02.1984,1904/1946/1959
LUMN,Lumen Technologies,Communication Services,"Monroe, Louisiana",25.03.1999,1983 (1877)
LYB,LyondellBasell,Materials,"Rotterdam, Netherlands",05.09.2012,2007
MTB,M&T Bank,Financials,"Buffalo, New York",23.02.2004,1856
MRO,Marathon Oil,Energy,"Houston, Texas",01.05.1991,1887
MPC,Marathon Petroleum,Energy,"Findlay, Ohio",01.07.2011,2009 (1887)
MKTX,MarketAxess,Financials,"New York City, New York",01.07.2019,2000
MAR,Marriott International,Consumer Discretionary,"Bethesda, Maryland",,1927
MMC,Marsh McLennan,Financials,"New York City, New York",31.08.1987,1905
MLM,Martin Marietta Materials,Materials,"Raleigh, North Carolina",02.07.2014,1993
MAS,Masco,Industrials,"Livonia, Michigan",30.06.1981,1929
MA,Mastercard,Information Technology,"Harrison, New York",18.07.2008,1966
MTCH,Match Group,Communication Services,"Dallas, Texas",20.09.2021,1986
MKC,McCormick & Company,Consumer Staples,"Hunt Valley, Maryland",20.03.2003,1889
MCD,McDonald's,Consumer Discretionary,"Chicago, Illinois",30.06.1970,1940
MCK,McKesson,Health Care,"Irving, Texas",,1833
MDT,Medtronic,Health Care,"Dublin, Ireland",31.10.1986,1949
MRK,Merck & Co.,Health Care,"Kenilworth, New Jersey",04.03.1957,1891
META,Meta Platforms,Communication Services,"Menlo Park, California",23.12.2013,2004
MET,MetLife,Financials,"New York City, New York",,1868
MTD,Mettler Toledo,Health Care,"Columbus, Ohio",06.09.2016,1945
MGM,MGM Resorts,Consumer Discretionary,"Paradise, Nevada",26.07.2017,1986
MCHP,Microchip Technology,Information Technology,"Chandler, Arizona",07.09.2007,1989
MU,Micron Technology,Information Technology,"Boise, Idaho",27.09.1994,1978
MSFT,Microsoft,Information Technology,"Redmond, Washington",01.06.1994,1975
MAA,Mid-America Apartment Communities,Real Estate,"Memphis, Tennessee",02.12.2016,1977
MRNA,Moderna,Health Care,"Cambridge, Massachusetts",21.07.2021,2010
MHK,Mohawk Industries,Consumer Discretionary,"Calhoun, Georgia",23.12.2013,1878
MOH,Molina Healthcare,Health Care,"Long Beach, California",02.03.2022,1980
TAP,Molson Coors Beverage Company,Consumer Staples,"Chicago, Illinois",30.06.1976,"2005 (Molson 1786, Coors 1873)"
MDLZ,Mondelez International,Consumer Staples,"Chicago, Illinois",02.10.2012,2012
MPWR,Monolithic Power Systems,Information Technology,"Kirkland, Washington",12.02.2021,1997
MNST,Monster Beverage,Consumer Staples,"Corona, California",28.06.2012,2012 (1935)
MCO,Moody's Corporation,Financials,"New York City, New York",,1909
MS,Morgan Stanley,Financials,"New York City, New York",,1935
MOS,The Mosaic Company,Materials,"Tampa, Florida",26.09.2011,2004 (1865 / 1909)
MSI,Motorola Solutions,Information Technology,"Chicago, Illinois",,1928 (2011)
MSCI,MSCI,Financials,"New York City, New York",04.04.2018,1969
NDAQ,"Nasdaq, Inc.",Financials,"New York City, New York",22.10.2008,1971
NTAP,NetApp,Information Technology,"San Jose, California",25.06.1999,1992
NFLX,Netflix,Communication Services,"Los Gatos, California",20.12.2010,1997
NWL,Newell Brands,Consumer Discretionary,"Atlanta, Georgia",30.04.1989,1903
NEM,Newmont,Materials,"Denver, Colorado",30.06.1969,1921
NWSA,News Corp (Class A),Communication Services,"New York City, New York",01.08.2013,2013 (1980)
NWS,News Corp (Class B),Communication Services,"New York City, New York",18.09.2015,2013 (1980)
NEE,NextEra Energy,Utilities,"Juno Beach, Florida",30.06.1976,1984 (1925)
NKE,"Nike, Inc.",Consumer Discretionary,"Washington County, Oregon",30.11.1988,1964
NI,NiSource,Utilities,"Merrillville, Indiana",,1912
NDSN,Nordson Corporation,Industrials,"Westlake, Ohio",15.02.2022,1935
NSC,Norfolk Southern Railway,Industrials,"Norfolk, Virginia",04.03.1957,1881/1894 (1980)
NTRS,Northern Trust,Financials,"Chicago, Illinois",,1889
NOC,Northrop Grumman,Industrials,"West Falls Church, Virginia",30.06.1985,"1994 (Northrop 1939, Grumman 1930)"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Miami, Florida",13.10.2017,2011 (1966)
NRG,NRG Energy,Utilities,"Houston, Texas",29.01.2010,1992
NUE,Nucor,Materials,"Charlotte, North Carolina",30.04.1985,1940
NVDA,Nvidia,Information Technology,"Santa Clara, California",30.11.2001,1993
NVR,"NVR, Inc.",Consumer Discretionary,"Reston, Virginia",26.09.2019,1980
NXPI,NXP Semiconductors,Information Technology,"Eindhoven, Netherlands",22.03.2021,1953
ORLY,O'Reilly Auto Parts,Consumer Discretionary,"Springfield, Missouri",27.03.2009,1957
OXY,Occidental Petroleum,Energy,"Houston, Texas",31.12.1982,1920
ODFL,Old Dominion,Industrials,"Thomasville, North Carolina",09.12.2019,1934
OMC,Omnicom Group,Communication Services,"New York City, New York",,1986
ON,ON Semiconductor,Information Technology,"Phoenix, Arizona",21.06.2022,1999
OKE,Oneok,Energy,"Tulsa, Oklahoma",15.03.2010,1906
ORCL,Oracle Corporation,Information Technology,"Austin, Texas",31.08.1989,1977
OGN,Organon & Co.,Health Care,"Jersey City, New Jersey",03.06.2021,2021
OTIS,Otis Worldwide,Industrials,"Farmington, Connecticut",03.04.2020,2020 (1853)
PCAR,Paccar,Industrials,"Bellevue, Washington",31.12.1980,1905
PKG,Packaging Corporation of America,Materials,"Lake Forest, Illinois",26.07.2017,1959
PARA,Paramount Global,Communication Services,"New York City, New York",,2019 (1952)
PH,Parker Hannifin,Industrials,"Cleveland, Ohio",30.11.1985,1917
PAYX,Paychex,Information Technology,"Penfield, New York",,1971
PAYC,Paycom,Information Technology,"Oklahoma City, Oklahoma",28.01.2020,1998
PYPL,PayPal,Information Technology,"San Jose, California",20.07.2015,1998
PNR,Pentair,Industrials,"Worsley, United Kingdom",01.10.2012,1966
PEP,PepsiCo,Consumer Staples,"Purchase, New York",04.03.1957,1898
PKI,PerkinElmer,Health Care,"Waltham, Massachusetts",31.05.1985,1937
PFE,Pfizer,Health Care,"New York City, New York",04.03.1957,1849
PCG,PG&E,Utilities,"San Francisco, California",03.10.2022,1905
PM,Philip Morris International,Consumer Staples,"New York City, New York",31.03.2008,2008 (1847)
PSX,Phillips 66,Energy,"Houston, Texas",01.05.2012,2012 (1917)
PNW,Pinnacle West,Utilities,"Phoenix, Arizona",,1985
PXD,Pioneer Natural Resources,Energy,"Irving, Texas",24.09.2008,1997
PNC,PNC Financial Services,Financials,"Pittsburgh, Pennsylvania",30.04.1988,1845
POOL,Pool Corporation,Consumer Discretionary,"Covington, Louisiana",07.10.2020,1993
PPG,PPG Industries,Materials,"Pittsburgh, Pennsylvania",04.03.1957,1883
PPL,PPL Corporation,Utilities,"Allentown, Pennsylvania",,1920
PFG,Principal Financial Group,Financials,"Des Moines, Iowa",22.07.2002,1879
PG,Procter & Gamble,Consumer Staples,"Cincinnati, Ohio",04.03.1957,1837
PGR,Progressive Corporation,Financials,"Mayfield Village, Ohio",04.08.1997,1937
PLD,Prologis,Real Estate,"San Francisco, California",17.07.2003,1983
PRU,Prudential Financial,Financials,"Newark, New Jersey",22.07.2002,1875
PEG,Public Service Enterprise Group,Utilities,"Newark, New Jersey",04.03.1957,1903
PTC,PTC,Information Technology,"Boston, Massachusetts",20.04.2021,1985
PSA,Public Storage,Real Estate,"Glendale, California",19.08.2005,1972
PHM,PulteGroup,Consumer Discretionary,"Atlanta, Georgia",30.04.1984,1956
QRVO,Qorvo,Information Technology,"Greensboro, North Carolina",11.06.2015,2015
PWR,Quanta Services,Industrials,"Houston, Texas",01.07.2009,1997
QCOM,Qualcomm,Information Technology,"San Diego, California",,1985
DGX,Quest Diagnostics,Health Care,"Secaucus, New Jersey",12.12.2002,1967
RL,Ralph Lauren Corporation,Consumer Discretionary,"New York City, New York",02.02.2007,1967
RJF,Raymond James,Financials,"St. Petersburg, Florida",20.03.2017,1962
RTX,Raytheon Technologies,Industrials,"Waltham, Massachusetts",,1922
O,Realty Income,Real Estate,"San Diego, California",07.04.2015,1969
REG,Regency Centers,Real Estate,"Jacksonville, Florida",02.03.2017,1963
REGN,Regeneron,Health Care,"Tarrytown, New York",01.05.2013,1988
RF,Regions Financial Corporation,Financials,"Birmingham, Alabama",28.08.1998,1971
RSG,Republic Services,Industrials,"Phoenix, Arizona",05.12.2008,1998 (1981)
RMD,ResMed,Health Care,"San Diego, California",26.07.2017,1989
RHI,Robert Half,Industrials,"Menlo Park, California",05.12.2000,1948
ROK,Rockwell Automation,Industrials,"Milwaukee, Wisconsin",,1903
ROL,"Rollins, Inc.",Industrials,"Atlanta, Georgia",01.10.2018,1948
ROP,Roper Technologies,Information Technology,"Sarasota, Florida",23.12.2009,1981
ROST,Ross Stores,Consumer Discretionary,"Dublin, California",21.12.2009,1982
RCL,Royal Caribbean Group,Consumer Discretionary,"Miami, Florida",05.12.2014,1997
SPGI,S&P Global,Financials,"New York City, New York",,1917
CRM,Salesforce,Information Technology,"San Francisco, California",15.09.2008,1999
SBAC,SBA Communications,Real Estate,"Boca Raton, Florida",01.09.2017,1989
SLB,Schlumberger,Energy,"Curaçao, Kingdom of the Netherlands",31.03.1965,1926
STX,Seagate Technology,Information Technology,"Dublin, Ireland",02.07.2012,1979
SEE,Sealed Air,Materials,"Charlotte, North Carolina",04.03.1957,1960
SRE,Sempra Energy,Utilities,"San Diego, California",,1998
NOW,ServiceNow,Information Technology,"Santa Clara, California",21.11.2019,2003
SHW,Sherwin-Williams,Materials,"Cleveland, Ohio",30.06.1964,1866
SBNY,Signature Bank,Financials,"New York City, New York",20.12.2021,2001
SPG,Simon Property Group,Real Estate,"Indianapolis, Indiana",26.06.2002,2003
SWKS,Skyworks Solutions,Information Technology,"Irvine, California",12.03.2015,2002
SJM,The J.M. Smucker Company,Consumer Staples,"Orrville, Ohio",06.11.2008,1897
SNA,Snap-on,Industrials,"Kenosha, Wisconsin",30.09.1982,1920
SEDG,SolarEdge,Information Technology,"Herzliya, Israel",20.12.2021,2006
SO,Southern Company,Utilities,"Atlanta, Georgia",04.03.1957,1945
LUV,Southwest Airlines,Industrials,"Dallas, Texas",01.07.1994,1967
SWK,Stanley Black & Decker,Industrials,"New Britain, Connecticut",30.09.1982,1843
SBUX,Starbucks,Consumer Discretionary,"Seattle, Washington",07.06.2000,1971
STT,State Street Corporation,Financials,"Boston, Massachusetts",,1792
STE,Steris,Health Care,"Dublin, Ireland",23.12.2019,1985
SYK,Stryker Corporation,Health Care,"Kalamazoo, Michigan",12.12.2000,1941
SIVB,SVB Financial,Financials,"Santa Clara, California",19.03.2018,1983
SYF,Synchrony Financial,Financials,"Stamford, Connecticut",18.11.2015,2003
SNPS,Synopsys,Information Technology,"Mountain View, California",16.03.2017,1986
SYY,Sysco,Consumer Staples,"Houston, Texas",31.12.1986,1969
TMUS,T-Mobile US,Communication Services,"Bellevue, Washington",15.07.2019,1994
TROW,T. Rowe Price,Financials,"Baltimore, Maryland",,1937
TTWO,Take-Two Interactive,Communication Services,"New York City, New York",19.03.2018,1993
TPR,"Tapestry, Inc.",Consumer Discretionary,"New York City, New York",,2017
TRGP,Targa Resources,Energy,"Houston, Texas",12.10.2022,2005
TGT,Target Corporation,Consumer Discretionary,"Minneapolis, Minnesota",31.12.1976,1902
TEL,TE Connectivity,Information Technology,"Schaffhausen, Switzerland",17.10.2011,2007
TDY,Teledyne Technologies,Information Technology,"Thousand Oaks, California",22.06.2020,1960
TFX,Teleflex,Health Care,"Wayne, Pennsylvania",18.01.2019,1943
TER,Teradyne,Information Technology,"North Reading, Massachusetts",21.09.2020,1960
TSLA,"Tesla, Inc.",Consumer Discretionary,"Austin, Texas",21.12.2020,2003
TXN,Texas Instruments,Information Technology,"Dallas, Texas",,1930
TXT,Textron,Industrials,"Providence, Rhode Island",31.12.1978,1923
TMO,Thermo Fisher Scientific,Health Care,"Waltham, Massachusetts",03.08.2004,2006 (1902)
TJX,TJX Companies,Consumer Discretionary,"Framingham, Massachusetts",30.09.1985,1987
TSCO,Tractor Supply,Consumer Discretionary,"Brentwood, Tennessee",24.01.2014,1938
TT,Trane Technologies,Industrials,"Dublin, Ireland",17.11.2010,1871
TDG,TransDigm Group,Industrials,"Cleveland, Ohio",03.06.2016,1993
TRV,The Travelers Companies,Financials,"New York City, New York",21.08.2002,1853
TRMB,Trimble Inc.,Information Technology,"Westminster, Colorado",21.01.2021,1978
TFC,Truist,Financials,"Charlotte, North Carolina",04.12.1997,1872
TYL,Tyler Technologies,Information Technology,"Plano, Texas",22.06.2020,1966
TSN,Tyson Foods,Consumer Staples,"Springdale, Arkansas",10.08.2005,1935
USB,U.S. Bank,Financials,"Minneapolis, Minnesota",,1968
UDR,"UDR, Inc.",Real Estate,"Highlands Ranch, Colorado",07.03.2016,1972
ULTA,Ulta Beauty,Consumer Discretionary,"Bolingbrook, Illinois",18.04.2016,1990
UNP,Union Pacific Corporation,Industrials,"Omaha, Nebraska",04.03.1957,1862
UAL,United Airlines Holdings,Industrials,"Chicago, Illinois",03.09.2015,1967
UPS,United Parcel Service,Industrials,"Sandy Springs, Georgia",22.07.2002,1907
URI,United Rentals,Industrials,"Stamford, Connecticut",20.09.2014,1997
UNH,UnitedHealth Group,Health Care,"Minnetonka, Minnesota",01.07.1994,1977
UHS,Universal Health Services,Health Care,"King of Prussia, Pennsylvania",20.09.2014,1979
VLO,Valero Energy,Energy,"San Antonio, Texas",,1980
VTR,Ventas,Real Estate,"Chicago, Illinois",04.03.2009,1998
VRSN,Verisign,Information Technology,"Dulles, Virginia",01.02.2006,1995
VRSK,Verisk,Industrials,"Jersey City, New Jersey",08.10.2015,1971
VZ,Verizon,Communication Services,"New York City, New York",30.11.1983,1983 (1877)
VRTX,Vertex Pharmaceuticals,Health Care,"Cambridge, Massachusetts",23.09.2013,1989
VFC,VF Corporation,Consumer Discretionary,"Denver, Colorado",30.06.1979,1899
VTRS,Viatris,Health Care,"Pittsburgh, Pennsylvania",23.04.2004,1961
VICI,Vici Properties,Real Estate,"New York City, New York",08.06.2022,2017
V,Visa Inc.,Information Technology,"San Francisco, California",21.12.2009,1958
VNO,Vornado Realty Trust,Real Estate,"New York City, New York",2005,1982
VMC,Vulcan Materials Company,Materials,"Birmingham, Alabama",30.06.1999,1909
WAB,Wabtec,Industrials,"Pittsburgh, Pennsylvania",27.02.2019,1999 (1869)
WBA,Walgreens Boots Alliance,Consumer Staples,"Deerfield, Illinois",31.12.1979,2014
WMT,Walmart,Consumer Staples,"Bentonville, Arkansas",31.08.1982,1962
WBD,Warner Bros. Discovery,Communication Services,"New York City, New York",11.04.2022,2022
WM,Waste Management,Industrials,"Houston, Texas",,1968
WAT,Waters Corporation,Health Care,"Milford, Massachusetts",,1958
WEC,WEC Energy Group,Utilities,"Milwaukee, Wisconsin",31.10.2008,1896
WFC,Wells Fargo,Financials,"San Francisco, California",30.06.1976,1852
WELL,Welltower,Real Estate,"Toledo, Ohio",30.01.2009,1970
WST,West Pharmaceutical Services,Health Care,"Exton, Pennsylvania",22.05.2020,1923
WDC,Western Digital,Information Technology,"San Jose, California",01.07.2009,1970
WRK,WestRock,Materials,"Atlanta, Georgia",,2015
WY,Weyerhaeuser,Real Estate,"Seattle, Washington",,1900
WHR,Whirlpool Corporation,Consumer Discretionary,"Benton Harbor, Michigan",,1911
WMB,Williams Companies,Energy,"Tulsa, Oklahoma",31.03.1975,1908
WTW,Willis Towers Watson,Financials,"London, United Kingdom",05.01.2016,2016
GWW,W. W. Grainger,Industrials,"Lake Forest, Illinois",30.06.1981,1927
WYNN,Wynn Resorts,Consumer Discretionary,"Paradise, Nevada",14.11.2008,2002
XEL,Xcel Energy,Utilities,"Minneapolis, Minnesota",04.03.1957,1909
XYL,Xylem Inc.,Industrials,"White Plains, New York",01.11.2011,2011
YUM,Yum! Brands,Consumer Discretionary,"Louisville, Kentucky",06.10.1997,1997
ZBRA,Zebra Technologies,Information Technology,"Lincolnshire, Illinois",23.12.2019,1969
ZBH,Zimmer Biomet,Health Care,"Warsaw, Indiana",07.08.2001,1927
ZION,Zions Bancorporation,Financials,"Salt Lake City, Utah",22.06.2001,1873
ZTS,Zoetis,Health Care,"Parsippany, New Jersey",21.06.2013,1952